_id,endereco,latitude,longitude
cam-10-100-1-11,"R. João T. de Araújo, 426-472 - Alto da Mangueira, Maracanaú - CE, 61900-010",-3.887278,-38628
cam-10-100-1-12,"Rua. Senador Petrônio Portela,nº 165 - Alto da Bonança - Pajuçara",-3.858908,-38.585478
cam-10-100-1-13,"Av. Parque Central, 904 - Cj Novo Oriente, Maracanaú - CE, 60530-000",-3.846639,-38.608806
cam-10-100-1-140,"Olho D'Água, Maracanaú - CE, 61909-100",-3.917444,-38.624028
cam-10-100-1-16,"R. Seis, 23-27 - Acaracuzinho, Maracanaú - CE, 61919-040",-3.846222,-38.611361
cam-10-100-1-17,"Av. Parque Central, 904 - Cj Novo Oriente, Maracanaú - CE, 60530-000",-3.846639,-38.608806
cam-10-100-1-18,Av. 4 de julho Setor D X Av. Pastor Chagas Calda,-3.883056,-38.612611
cam-10-100-1-19,"Av. Lateral Sul, 645 - Acaracuzinho, Maracanaú - CE, PROX. Emeief Antonio Gondim de Lima",-3.850306,-38.614917
cam-10-100-1-2,"av. 4 de julho, Jereissati II, Maracanaú - CE",-3.882806,-38.614861
cam-10-100-1-20,"R. N, 300-336 - Mondubim, Fortaleza - CE, 60765-135",-3.837333,-38.589889
cam-10-100-1-22,"Av.Pe. José Holanda,nº2050 x Rua São José,nº1,esquina emeif ENEIDA SOARES",-3.876161,-38.626717
cam-10-100-1-222,"Olho D'Água, Maracanaú - CE, 61909-100",-3.917444,-38.624028
cam-10-100-1-24,"Via Ferrea Alto Alegre Maracanau, 1429 - Centro, Maracanaú - CE, 61909-170",-3.878056,-38.625472
cam-10-100-1-246,"Av. dos Estruturantes, 419-387 - Antonio Justa, Maracanaú - CE",-3.879806,-38.630639
cam-10-100-1-27,"PRAÇA DA ESTAÇÃO - Centro, Maracanaú - CE, 61900-161",-3.877786,-38.624489
cam-10-100-1-28,"R. Oriente, 10 - Piratininga, Maracanaú - CE, 61905-160",-3.87575,-38.628306
cam-10-100-1-29,"R. Pref. Almir Dutra, 671 - Jardim Bandeirantes, Maracanaú ",-3.870806,-38.587972
cam-10-100-1-3,"R. Edson Queiroz, 386 -  Antonio Justa, Maracanaú - CE, 61900-200",-3.880917,-38.629556
cam-10-100-1-30,,-3.863556,-38.625083
