id,tipo_desc,latitude,longitude,created_at
M20260271628,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8110094625788014,-38.59822438477983,2026-04-05 03:11:23.792 -0300
M20260271630,LESÃO CORPORAL,-3.821292725885389,-38.60873010191156,2026-04-05 03:11:23.795 -0300
M20260271629,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.137931315606834,-38.09681125278256,2026-04-05 03:11:23.798 -0300
M20260271626,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8531856238921387,-38.52510968443347,2026-04-05 03:11:23.801 -0300
M20260271625,PERTURBAÇÃO AO SOSSEGO ALHEIO,-2.8965828190153577,-40.84323645695613,2026-04-05 03:11:23.804 -0300
M20260271624,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7864176945454573,-38.60280615231984,2026-04-05 03:11:23.808 -0300
M20260271622,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.250303624282092,-39.343649802475866,2026-04-05 03:11:23.813 -0300
M20260271664,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7154816935146098,-40.3329778425684,2026-04-05 03:21:23.835 -0300
M20260271662,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8450429821456447,-38.64256196095922,2026-04-05 03:21:23.868 -0300
M20260271661,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7011344283083143,-40.32985176271853,2026-04-05 03:21:23.871 -0300
M20260271659,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.315708882160905,-39.30865748763321,2026-04-05 03:21:23.874 -0300
M20260271658,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.760711907167322,-38.55722215812047,2026-04-05 03:21:23.877 -0300
M20260271657,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.9200974278624017,-38.37013375729802,2026-04-05 03:21:23.880 -0300
M20260271656,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7415413044039267,-38.61302875135144,2026-04-05 03:21:23.883 -0300
M20260271654,PORTE ILEGAL DE ARMA,-4.4662329757687536,-38.89992452936432,2026-04-05 03:21:23.885 -0300
M20260271652,MARIA DA PENHA,-5.1979091904847605,-39.295213724918234,2026-04-05 03:21:23.888 -0300
M20260271651,EMBRIAGUEZ E DESORDEM,-7.255155255866244,-39.335953998987584,2026-04-05 03:21:23.892 -0300
M20260271650,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.4114336607606903,-39.02241438755722,2026-04-05 03:21:23.894 -0300
M20260271684,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.768762720502742,-38.472615179352715,2026-04-05 03:31:23.278 -0300
M20260271681,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.5547261613995076,-38.831549566103796,2026-04-05 03:31:23.282 -0300
M20260271680,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.218988186377393,-39.317914827009545,2026-04-05 03:31:23.284 -0300
M20260271679,MARIA DA PENHA,-3.748802767264198,-38.54450619881545,2026-04-05 03:31:23.287 -0300
M20260271677,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.308969858379898,-39.30313972972843,2026-04-05 03:31:23.289 -0300
M20260271678,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.971137151580404,-39.014276940338114,2026-04-05 03:31:23.292 -0300
M20260271671,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.845604187014443,-38.52798266200773,2026-04-05 03:31:23.294 -0300
M20260271670,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.9328950050980795,-37.96692300306935,2026-04-05 03:31:23.296 -0300
M20260271672,EMBRIAGUEZ E DESORDEM,-5.394380406733798,-40.30877314641501,2026-04-05 03:31:23.299 -0300
M20260271668,MARIA DA PENHA,-3.7250086210449402,-38.54410143304682,2026-04-05 03:31:23.301 -0300
M20260271666,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.948433707211529,-39.430954664011466,2026-04-05 03:31:23.304 -0300
M20260271703,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.193843244254094,-39.286618002918416,2026-04-05 03:41:23.345 -0300
M20260271702,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7712166593378322,-38.50289565760577,2026-04-05 03:41:23.378 -0300
M20260271701,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.770262926460195,-38.596768205325056,2026-04-05 03:41:23.381 -0300
M20260271700,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8010438249872007,-38.62099140938917,2026-04-05 03:41:23.383 -0300
M20260271699,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.0461573964358974,-38.636957332865066,2026-04-05 03:41:23.386 -0300
M20260271698,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.308969858379898,-39.30313972972843,2026-04-05 03:41:23.390 -0300
M20260271695,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.751888592968047,-38.59825943777014,2026-04-05 03:41:23.393 -0300
M20260271693,DISPARO DE ARMA,-3.684130197284316,-39.589893326275835,2026-04-05 03:41:23.395 -0300
M20260271692,MARIA DA PENHA,-3.792106818332273,-38.61582227233178,2026-04-05 03:41:23.398 -0300
M20260271691,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7266110943469957,-38.507354349435126,2026-04-05 03:41:23.401 -0300
M20260271690,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.305970563433439,-38.92000035339093,2026-04-05 03:41:23.404 -0300
M20260271688,MARIA DA PENHA,-3.666969213103065,-40.48491190560631,2026-04-05 03:41:23.406 -0300
M20260271715,MARIA DA PENHA,-7.239251388489161,-39.290534539879395,2026-04-05 03:51:23.730 -0300
M20260271714,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.773655755128801,-38.45526580377325,2026-04-05 03:51:23.735 -0300
M20260271712,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8015187690993257,-38.46454693121618,2026-04-05 03:51:23.737 -0300
M20260271711,MARIA DA PENHA,-4.352328100205439,-40.68821032187401,2026-04-05 03:51:23.740 -0300
M20260271710,DISPARO DE ARMA,-3.7694294878777606,-38.511461518281195,2026-04-05 03:51:23.743 -0300
M20260271706,DISPARO DE ARMA,-3.728777495999926,-38.46477102487352,2026-04-05 03:51:23.746 -0300
M20260271705,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.328656971590874,-38.8821573543087,2026-04-05 03:51:23.748 -0300
M20260271731,LESÃO CORPORAL,-7.250155758609591,-39.13677042512959,2026-04-05 04:01:22.504 -0300
M20260271730,MARIA DA PENHA,-4.5254524076644955,-37.70533192683076,2026-04-05 04:01:22.537 -0300
M20260271728,MARIA DA PENHA,-2.797008063893894,-40.51208244228405,2026-04-05 04:01:22.540 -0300
M20260271726,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.487250150853207,-39.00215865697546,2026-04-05 04:01:22.543 -0300
M20260271725,PORTE ILEGAL DE ARMA,-3.8247745028256395,-38.47909751748082,2026-04-05 04:01:22.546 -0300
M20260271724,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.098462117157345,-38.151852370513225,2026-04-05 04:01:22.550 -0300
M20260271722,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.2394869537813245,-39.285074938140795,2026-04-05 04:01:22.553 -0300
M20260271721,PORTE ILEGAL DE ARMA,-3.2777572400003305,-39.26812323818222,2026-04-05 04:01:22.557 -0300
M20260271717,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8319464640575105,-38.46643536263779,2026-04-05 04:01:22.560 -0300
M20260271716,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8069362451604456,-38.5697549014997,2026-04-05 04:01:22.564 -0300
