hex_id,janela_tempo,contagem_bruta,score_risco_total,hora,dia_semana,hora_sin,hora_cos,dia_sin,dia_cos,peso_cobertura
8980020ca53ffff,2026-04-05 00:00:00,1,2.0,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-04-05 06:00:00,1,7.0,6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-04-05 12:00:00,2,3.0,12,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-04-05 18:00:00,2,9.5,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-04-06 18:00:00,1,2.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0
8980020ca53ffff,2026-04-07 00:00:00,1,1.0,0,1,0.0,1.0,0.7818314824680298,0.6234898018587336,0.0
8980020ca53ffff,2026-04-07 06:00:00,1,8.5,6,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0
8980020ca53ffff,2026-04-07 12:00:00,1,8.0,12,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.0
8980020ca53ffff,2026-04-07 18:00:00,1,1.0,18,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.0
8980020ca53ffff,2026-04-08 00:00:00,1,1.0,0,2,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-04-08 06:00:00,1,8.5,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-04-08 12:00:00,1,6.0,12,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-04-08 18:00:00,2,2.0,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-04-09 00:00:00,1,8.5,0,3,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-04-09 12:00:00,1,6.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-04-09 18:00:00,2,17.0,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0
8980020ca57ffff,2026-04-01 06:00:00,1,6.0,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0
8980020ca5bffff,2026-03-05 06:00:00,1,8.0,6,3,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0
8980020ca5bffff,2026-04-04 12:00:00,1,1.0,12,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca5bffff,2026-04-05 00:00:00,1,1.0,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca67ffff,2026-03-12 00:00:00,1,4.0,0,3,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0
