"ocorrencia","tipo_desc","latitude","longitude","created_at"
M20260294712,FURTO EM VEÍCULO,-3.7962687197903833,-38.600423219994454,2026-04-15 20:20:29.225 -0300
M20260294711,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7753569090843158,-38.57163644483052,2026-04-15 20:20:29.266 -0300
M20260294710,CONSUMO DE ENTORPECENTES,-7.21752163678561,-39.29056929796392,2026-04-15 20:20:29.271 -0300
M20260294708,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7343861289075453,-38.567155200645196,2026-04-15 20:20:29.275 -0300
M20260294735,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.237961557356355,-39.32883819509289,2026-04-15 20:30:30.223 -0300
M20260294732,PORTE ILEGAL DE ARMA,-7.249064290681945,-39.28787026866946,2026-04-15 20:30:30.229 -0300
M20260294733,MARIA DA PENHA,-3.76607891156188,-38.63284896913667,2026-04-15 20:30:30.234 -0300
M20260294729,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7943998824255503,-39.27344929350605,2026-04-15 20:30:30.240 -0300
M20260294726,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8634125384488276,-38.585593281167746,2026-04-15 20:30:30.244 -0300
M20260294724,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.584434677108044,-39.28103607765941,2026-04-15 20:30:30.251 -0300
M20260294723,ROUBO,-3.8450720372891953,-38.49303291447365,2026-04-15 20:30:30.254 -0300
M20260294749,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.567542235845813,-41.089330349028124,2026-04-15 20:40:30.056 -0300
M20260294748,PORTE ILEGAL DE ARMA,-3.762291041395197,-38.58975446404801,2026-04-15 20:40:30.096 -0300
M20260294768,MARIA DA PENHA,-3.786707466717984,-38.60400202546956,2026-04-15 20:50:28.303 -0300
M20260294767,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.736738086757652,-38.543311640547316,2026-04-15 20:50:28.340 -0300
M20260294766,RAPTO,-3.718483402836552,-38.54697270495203,2026-04-15 20:50:28.344 -0300
M20260294763,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.755114484920932,-38.448530192714536,2026-04-15 20:50:28.351 -0300
M20260294759,ROUBO,-3.8536112061890835,-38.64186333348162,2026-04-15 20:50:28.357 -0300
M20260294758,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7774033631456305,-38.58996199337547,2026-04-15 20:50:28.360 -0300
M20260294775,TRÁFICO,-3.694678203213674,-40.35948388796679,2026-04-15 21:00:28.539 -0300
M20260294774,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.726133643250302,-38.463137447305364,2026-04-15 21:00:28.573 -0300
M20260294773,PERTURBAÇÃO AO SOSSEGO ALHEIO,-5.212203591846296,-39.3005216280446,2026-04-15 21:00:28.577 -0300
M20260294798,MARIA DA PENHA,-3.7348359087802083,-38.54481527528291,2026-04-15 21:10:42.700 -0300
M20260294797,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.385566683261889,-38.7758545381088,2026-04-15 21:10:42.736 -0300
M20260294795,MARIA DA PENHA,-3.6997608891913365,-38.58238780099598,2026-04-15 21:10:42.739 -0300
M20260294792,CONSUMO DE ENTORPECENTES,-3.759637783205851,-38.52928400253546,2026-04-15 21:10:42.744 -0300
M20260294819,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.714002941401615,-38.562865137986286,2026-04-15 21:20:29.277 -0300
M20260294814,CONSUMO DE ENTORPECENTES,-3.7285850234935247,-38.49441149454903,2026-04-15 21:20:29.283 -0300
M20260294813,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.21711565248018,-39.30092160743416,2026-04-15 21:20:29.288 -0300
M20260294812,CONSUMO DE ENTORPECENTES,-3.689787007478867,-40.35557941978277,2026-04-15 21:20:29.294 -0300
M20260294811,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7305470726792036,-40.99242783486226,2026-04-15 21:20:29.298 -0300
M20260294810,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8272513093320235,-38.57751690796656,2026-04-15 21:20:29.304 -0300
M20260294842,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.4682152498808465,-38.8976018172052,2026-04-15 21:30:29.205 -0300
M20260294841,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.240606517559155,-39.29309929409427,2026-04-15 21:30:29.251 -0300
M20260294835,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.839276387847601,-38.51865160796868,2026-04-15 21:30:29.256 -0300
M20260294834,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7568082177925164,-38.5894011196927,2026-04-15 21:30:29.261 -0300
M20260294827,DISPARO DE ARMA,-3.779108867126668,-38.484751317228664,2026-04-15 21:30:29.265 -0300
M20260294863,LESÃO CORPORAL,-3.7305470726792036,-40.99242783486226,2026-04-15 21:40:30.016 -0300
M20260294859,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7373574589743974,-38.55426434147832,2026-04-15 21:40:30.053 -0300
M20260294858,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8164658958551554,-38.514380783623565,2026-04-15 21:40:30.057 -0300
M20260294892,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.748819952819289,-38.49911736734483,2026-04-15 21:50:29.864 -0300
M20260294891,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.764340883016087,-38.57813123547506,2026-04-15 21:50:29.869 -0300
M20260294890,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.228830933989708,-39.31702567331728,2026-04-15 21:50:29.873 -0300
M20260294887,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.754644515444529,-38.61926172360178,2026-04-15 21:50:29.876 -0300
M20260294884,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.760585234383472,-38.57829541584956,2026-04-15 21:50:29.879 -0300
M20260294882,PERTURBAÇÃO AO SOSSEGO ALHEIO,-6.948950711359401,-38.9653480331305,2026-04-15 21:50:29.882 -0300
M20260294881,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7914817621644707,-38.4756198880554,2026-04-15 21:50:29.886 -0300
M20260294880,GRUPO CRIMINOSO,-7.25229252887008,-39.25742804502329,2026-04-15 21:50:29.890 -0300
M20260294873,LESÃO CORPORAL,-7.241057991316558,-39.33811040620838,2026-04-15 21:50:29.892 -0300
M20260294908,CONSUMO DE ENTORPECENTES,-3.830456722929099,-38.55524934641905,2026-04-15 22:00:29.439 -0300
M20260294906,PERTURBAÇÃO AO SOSSEGO ALHEIO,-2.907501124792583,-40.85626072258436,2026-04-15 22:00:29.471 -0300
